state,abbreviation,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alabama,AL,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arizona,AZ,,,,,,,,,,,,,,,,,,
Arkansas,AR,,,,,,,,,,,,,,,,,,
Arkansas,AR,,,,,,,,,,,,,,,,,,
Arkansas,AR,,,,,,,,,,,,,,,,,,
Arkansas,AR,,,,,,,,,,,,,,,,,,
Arkansas,AR,,,,,,,,,,,,,,,,,,
Arkansas,AR,,,,,,,,,,,,,,,,,,
Arkansas,AR,,,,,,,,,,,,,,,,,,
